search_term,organism_name,latin_name,organism_id_ncbi,organism_uuid
"human,hek,goals,optin,hwgs",Human,Homo sapiens,9606,6eeb1944-b25f-4819-bb9e-9f3bfd6e06c9
"gf mice,mouse",Mouse,Mus musculus,1758,a5c50851-1967-4e8a-9b50-72a193b2ec71
