search_term,cell_name,cell_id_uberon,cell_uuid
hsc,Hematopoietic Stem Cells (HSCs),CL_0000037,447b389d-80ce-4467-ac7e-a594cdf11012
endo,Endothelial Cells,CL_0000115,528c4fcf-186b-4726-b2a0-b0f960d5d63a
