cell_uuid,folder_uuid
528c4fcf-186b-4726-b2a0-b0f960d5d63a,d3ba7f42-eaf8-4181-bc11-5f3c09807890
528c4fcf-186b-4726-b2a0-b0f960d5d63a,ce89e4e1-273d-477e-9ee1-0d71d217b3f7
447b389d-80ce-4467-ac7e-a594cdf11012,2f948e29-cf41-4182-bd6b-496e14ab0372
