institute_uuid,folder_uuid
4a8d4d81-8b09-4252-b3f5-478c728eb9d7,3d4385db-351e-4047-b307-97f1911c1115
28af325f-3d77-4b41-8946-87751f622fb2,caff7979-1817-471c-aa07-f43c4363f21b
4a8d4d81-8b09-4252-b3f5-478c728eb9d7,11c594c2-b76f-4f1b-81c8-114168235dbb
28af325f-3d77-4b41-8946-87751f622fb2,f181edcd-047f-47f2-b6fb-efa7dcc3795f
28af325f-3d77-4b41-8946-87751f622fb2,fecb3fb3-14b3-40b6-87df-c9756192f760
28af325f-3d77-4b41-8946-87751f622fb2,720a24eb-87a9-4e17-b085-caf443c372f2
8b31a427-4ece-47e3-ae65-a2e8b767a269,90e0e4de-aa69-4830-8b17-32726bd5e26a
4a8d4d81-8b09-4252-b3f5-478c728eb9d7,9870987d-18ca-46e7-8c22-0aafe9773e72
28af325f-3d77-4b41-8946-87751f622fb2,f0961688-8ad8-40b6-acf0-841fd001ed70
8b31a427-4ece-47e3-ae65-a2e8b767a269,a0cdedc7-bbca-492d-a5f5-c00ac10115b7
8b31a427-4ece-47e3-ae65-a2e8b767a269,91c5e347-a520-4e6e-a9df-91c623e62993
28af325f-3d77-4b41-8946-87751f622fb2,f7001173-3ef6-478d-affd-6fa217c9c2e0
4a8d4d81-8b09-4252-b3f5-478c728eb9d7,1ef2a602-0dfb-44ce-8e5f-a974c666ee9d
28af325f-3d77-4b41-8946-87751f622fb2,2864e61c-c62a-4394-872d-a3c146894493
4a8d4d81-8b09-4252-b3f5-478c728eb9d7,aae4d5d9-6a4e-440e-b6f6-74ee93b7304b
4a8d4d81-8b09-4252-b3f5-478c728eb9d7,3ceedd79-399c-43e7-a4d8-0100336b7eb9
4a8d4d81-8b09-4252-b3f5-478c728eb9d7,157d6770-f5b3-47bd-9bed-1f447b1dbc4d
28af325f-3d77-4b41-8946-87751f622fb2,9bf9ee0f-ac36-433d-88ce-501e109d4f74
28af325f-3d77-4b41-8946-87751f622fb2,330f3def-d73a-48e0-a3ae-6a2bb2bef949
