institute_uuid,folder_uuid
6aefb066-f13e-4830-82ac-7fd60e473a89,2d9c53a5-afde-4533-86fe-2fe48783ba6c
4a8d4d81-8b09-4252-b3f5-478c728eb9d7,7d51f5cc-bf97-4291-9e35-620011a9cb47
8b31a427-4ece-47e3-ae65-a2e8b767a269,351a0621-ebb4-41f5-8607-f59b2ab9bff5
28af325f-3d77-4b41-8946-87751f622fb2,aab3b899-1b58-4cfe-a847-d85e94bd4ea8
8b31a427-4ece-47e3-ae65-a2e8b767a269,592dc444-2827-46f4-a44e-6683118a35fe
28af325f-3d77-4b41-8946-87751f622fb2,0366ceb9-18a2-48aa-93db-c502aa53b542
8b31a427-4ece-47e3-ae65-a2e8b767a269,7627a2f9-1f50-4793-a8ce-314e114b1c75
c0f8a3a3-fb5d-4261-b339-b189df4a9c13,dd9adfea-bfb4-435f-9a75-d48670f5bf51
28af325f-3d77-4b41-8946-87751f622fb2,8b8642fd-0b10-46d2-86b8-5b67c7298ed7
4a8d4d81-8b09-4252-b3f5-478c728eb9d7,abe9b3c1-581b-4de2-99c3-85a5d99a5a62
6aefb066-f13e-4830-82ac-7fd60e473a89,0ea969d2-afa3-41dd-8b2e-ac294441c75a
8b31a427-4ece-47e3-ae65-a2e8b767a269,e0de5d12-f4b6-47f6-8b67-29121c5dc6b5
28af325f-3d77-4b41-8946-87751f622fb2,010e9dea-6e52-4fa0-8833-f3f113a6923f
28af325f-3d77-4b41-8946-87751f622fb2,21426512-79dc-4dac-a1fd-142a57bf5e26
28af325f-3d77-4b41-8946-87751f622fb2,3dac24e5-9c78-4bfb-b327-0d793a815568
8b31a427-4ece-47e3-ae65-a2e8b767a269,a90ba0cb-e99d-4777-a3e3-b43dff30484e
4a8d4d81-8b09-4252-b3f5-478c728eb9d7,ef7663de-2a7e-4120-bfe7-cf4d07dcc842
28af325f-3d77-4b41-8946-87751f622fb2,df2af72e-8a62-4b8d-a3f5-16ea8d3f6f28
6aefb066-f13e-4830-82ac-7fd60e473a89,589471e4-7334-4ab1-8296-aeb4ae08c6bc
28af325f-3d77-4b41-8946-87751f622fb2,a3365972-ff23-4627-afb8-fbc4c646f6dd
4a8d4d81-8b09-4252-b3f5-478c728eb9d7,72769c37-89e3-4e6f-a990-1e17fddbe9c0
8b31a427-4ece-47e3-ae65-a2e8b767a269,64bb1592-6273-4d72-a58d-36ec74f1d537
8b31a427-4ece-47e3-ae65-a2e8b767a269,83839d6c-2b18-4460-8d91-d93c554864c7
