gene_uuid,folder_uuid
62ebd616-25e9-4e3b-80ab-3b030240f678,9b608f1d-a99a-46d9-b58f-ff13edbb9d80
25fa63be-0153-4736-8369-c8414ccb0cf4,9b608f1d-a99a-46d9-b58f-ff13edbb9d80
b502edae-e99c-46da-8fdc-0ece5518948a,e724f426-5bec-477d-8594-d70cd79711cc
78b580ce-0908-499b-a322-cabc8edffe2f,e724f426-5bec-477d-8594-d70cd79711cc
6c62f958-6274-4de8-ab59-a311a0eedbe4,c6dc6d6b-f088-4a43-b08b-8ce5644d7598
0406c0bf-2f99-4cae-8506-6a203f2a5888,c6dc6d6b-f088-4a43-b08b-8ce5644d7598
f8f8ac29-49ec-4266-bb15-8c952a3cc3fd,18355b8d-49c3-4a48-8f0d-7224b19165d8
c4bc0795-a83d-4ad9-b082-79fee542e69f,a41e5944-81ff-45d3-8892-c528ec900cf4
832a8717-a584-4a70-a4fa-6a084e666a52,e524c35a-e429-4ee2-b0af-30f41df0cc9e
3c49fe90-3e64-4ed2-b8fa-91771f495d0c,2f948e29-cf41-4182-bd6b-496e14ab0372
0ab0235a-e1db-4216-91e2-6ef964a4f8ab,ae9dcb8a-1ee6-4659-ab59-51f7fdc49c4e
fb5828bd-fac8-4cee-939a-bac6c977e7da,9dabf039-59ed-4675-929e-105feaf9f60c
7fb97ea0-68f6-4feb-881e-48e355257be8,420a54ed-7037-49d8-8f90-af058399ec76
da140f3e-8e6e-4490-b405-4ae2159a73a9,f9347d3a-ab10-4c74-bb4d-0ed9e3bfb0b0
2de432be-a7fc-4601-ac2e-73050f523d6f,f9347d3a-ab10-4c74-bb4d-0ed9e3bfb0b0
7fb97ea0-68f6-4feb-881e-48e355257be8,f9347d3a-ab10-4c74-bb4d-0ed9e3bfb0b0
ccaf59b0-98f0-41ec-a1c3-77364ec61ba2,f0fec7cc-d3a4-470b-8d74-b4c1423f62b8
9251631f-8ac0-4d4b-97ea-732ba2ef4804,f0fec7cc-d3a4-470b-8d74-b4c1423f62b8
2baf63ec-9638-4b1b-b7dc-308c22e4b1ca,f0fec7cc-d3a4-470b-8d74-b4c1423f62b8
6c62f958-6274-4de8-ab59-a311a0eedbe4,60e33065-a057-48c5-a0e7-c9bf016608ac
25bd1ac2-e4bf-4c27-a0ed-743eb87d71c3,6ae93e56-ffde-43a3-9fe9-d49f5a0f4c08
7fb97ea0-68f6-4feb-881e-48e355257be8,7dcdc580-e581-4d7b-9e63-c1759a73527e
532978c2-e398-46e1-9c16-493c4fd286b2,7a9aecb3-d22a-4bd7-9e10-5818ce5ef9db
7bde49a6-745c-47e8-8ef5-cf7d7ae06326,fb7cb3d1-1770-4379-8b05-cff5468bed09
25bd1ac2-e4bf-4c27-a0ed-743eb87d71c3,fbe14422-2dd2-48ac-a347-5e08bb0e589d
25bd1ac2-e4bf-4c27-a0ed-743eb87d71c3,b597bc52-c994-4868-9b87-2dd7310f0039
832a8717-a584-4a70-a4fa-6a084e666a52,bc9d1b1e-4ccd-4227-a908-67a838ff1839
a19c6fbb-b3e0-4499-893a-b4904f50491f,a90ba0cb-e99d-4777-a3e3-b43dff30484e
