tissue_uuid,folder_uuid
841cf322-b49c-435a-84a3-4cbe114bfded,37b9f28c-dfa3-486c-ba08-145575a9521b
7600132b-8b0f-4a50-9c6e-95877f7cc2ab,d11d0b2b-831f-4dd3-a284-0a15af2b51d1
ae6df4f3-e773-4204-9265-48ba9bc40c8c,8d29a59e-95f8-49ed-bdc4-5d588f3c558a
7600132b-8b0f-4a50-9c6e-95877f7cc2ab,068c69c4-a984-4479-b54a-dc5d833eb5ae
b693d980-ee4f-451c-b1c2-dc075f8ca39c,068c69c4-a984-4479-b54a-dc5d833eb5ae
b2735f64-3f66-434f-9962-55d1dd2e9a57,068c69c4-a984-4479-b54a-dc5d833eb5ae
7600132b-8b0f-4a50-9c6e-95877f7cc2ab,46d5d511-bd3a-4ee6-8adc-2164a2cca737
841cf322-b49c-435a-84a3-4cbe114bfded,2718b44b-fe98-48b9-a64c-c52133794b29
7600132b-8b0f-4a50-9c6e-95877f7cc2ab,7207c149-fdef-49a2-934b-6269ff53aa6f
b942e990-155f-4b5c-9ae3-80173fa1cde3,63d0e147-b8c7-4bdf-8479-0c1219dd9467
7600132b-8b0f-4a50-9c6e-95877f7cc2ab,12c30d8c-d958-490e-b861-0c36cdd91612
841cf322-b49c-435a-84a3-4cbe114bfded,d23af040-c4c9-4bb6-aea0-9cdad81dba16
7600132b-8b0f-4a50-9c6e-95877f7cc2ab,cbc4faed-e6c2-468b-8d96-babd22827407
b2735f64-3f66-434f-9962-55d1dd2e9a57,cbc4faed-e6c2-468b-8d96-babd22827407
841cf322-b49c-435a-84a3-4cbe114bfded,710344ea-c7b3-4bee-9d4e-a1ceed710453
b942e990-155f-4b5c-9ae3-80173fa1cde3,710344ea-c7b3-4bee-9d4e-a1ceed710453
45a596cb-d32d-452e-b0b9-31862e928292,8cbf9eb3-c4f7-4ecf-b946-95c7ac170334
cf7c6d00-9b8d-4134-96e5-117c16ee8422,8cbf9eb3-c4f7-4ecf-b946-95c7ac170334
b942e990-155f-4b5c-9ae3-80173fa1cde3,99b93485-b3af-4c96-9aa2-0444fddbe888
841cf322-b49c-435a-84a3-4cbe114bfded,536c1dbb-3c32-40e6-8ee4-78f0f3a90fb0
7600132b-8b0f-4a50-9c6e-95877f7cc2ab,6e4009b2-1104-4f0d-8179-45ed45460be7
b693d980-ee4f-451c-b1c2-dc075f8ca39c,ae1f6796-000b-41e9-8fb5-7fe1f725ccb7
b942e990-155f-4b5c-9ae3-80173fa1cde3,e2ebe77e-78b0-4383-96aa-44632376bd81
841cf322-b49c-435a-84a3-4cbe114bfded,7dcdc580-e581-4d7b-9e63-c1759a73527e
b942e990-155f-4b5c-9ae3-80173fa1cde3,7dcdc580-e581-4d7b-9e63-c1759a73527e
841cf322-b49c-435a-84a3-4cbe114bfded,23b65b9c-8f91-421e-8f14-098fdeebce8b
7600132b-8b0f-4a50-9c6e-95877f7cc2ab,e3588eb5-cf8c-4243-af5f-deea859f7c03
b942e990-155f-4b5c-9ae3-80173fa1cde3,4200f146-d144-4861-9374-07e3c35b762a
